"Hlavná kategória";"Podkategória";"Pod-podkategória";"URL slug";"Krátky popis";"Meta titulok";"Meta popis";"Viditeľná"
"Krytiny skladom";"";"";"krytiny-skladom";"Plechové krytiny ihneď k odberu — Topdach S15, Unidach, Uniplech, Uni-šablóna.";"Krytiny skladom — Strechy Partizánske";"Plechové strešné krytiny skladom: Topdach S15, Unidach, Uniplech a Uni-šablóna. Doručenie do 48 h.";"1"
"Krytiny skladom";"Topdach S15";"";"krytiny-skladom/topdach-s15";"Profilovaná krytina Topdach S15 — pozink + farby RAL.";"Topdach S15 — Strechy Partizánske";"Krytina Topdach S15 v 12 farbách RAL aj v pozinku. Doručenie do 48 h.";"1"
"Krytiny skladom";"Unidach";"";"krytiny-skladom/unidach";"Krytina Unidach pre šikmé strechy.";"Unidach — Strechy Partizánske";"Plechová krytina Unidach v 12 farbách RAL aj v pozinku.";"1"
"Krytiny skladom";"Uniplech";"";"krytiny-skladom/uniplech";"Hladké plechové tabule Uniplech.";"Uniplech — Strechy Partizánske";"Hladké plechové tabule Uniplech v 12 farbách RAL.";"1"
"Krytiny skladom";"Uni-šablóna";"";"krytiny-skladom/uni-sablona";"Šablónová krytina Uni-šablóna.";"Uni-šablóna — Strechy Partizánske";"Šablónová plechová krytina Uni v 12 farbách RAL.";"1"
"Klampiarske produkty";"";"";"klampiarske-produkty";"Klampiarske produkty v 12 farbách RAL aj v pozinku — vyber farbu a uvidíš celý sortiment.";"Klampiarske produkty — Strechy Partizánske";"Žľaby, lemovania, závetria a klampiarske produkty v 12 farbách RAL aj v pozinku.";"1"
"Klampiarske produkty";"Pozink";"";"klampiarske-produkty/pozink";"Klampiarske produkty v pozinku.";"Klampiarske produkty pozink — Strechy Partizánske";"Klampiarske produkty v pozinkovanom prevedení — žľaby, lemovania, závetria.";"1"
"Klampiarske produkty";"Strieborná";"";"klampiarske-produkty/strieborna";"";"Klampiarske produkty strieborná — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Sivá";"";"klampiarske-produkty/seda";"";"Klampiarske produkty sivá — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Čierna";"";"klampiarske-produkty/cierna";"";"Klampiarske produkty čierna — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Biela";"";"klampiarske-produkty/biela";"";"Klampiarske produkty biela — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Tehlová";"";"klampiarske-produkty/tehlova";"";"Klampiarske produkty tehlová — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Červená";"";"klampiarske-produkty/cervena";"";"Klampiarske produkty červená — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Červenohnedá";"";"klampiarske-produkty/cervenohneda";"";"Klampiarske produkty červenohnedá — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Tmavohnedá";"";"klampiarske-produkty/tmavohneda";"";"Klampiarske produkty tmavohnedá — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Tmavozelená";"";"klampiarske-produkty/tmavozelena";"";"Klampiarske produkty tmavozelená — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Modrá";"";"klampiarske-produkty/modra";"";"Klampiarske produkty modrá — Strechy Partizánske";"";"1"
"Klampiarske produkty";"Drevodekor";"";"klampiarske-produkty/drevodekor";"";"Klampiarske produkty drevodekor — Strechy Partizánske";"";"1"
"Náradie";"";"";"klampiarske-naradie";"Klampiarske náradie — nožnice, kladivá, ohýbačky.";"Klampiarske náradie — Strechy Partizánske";"Profesionálne klampiarske náradie pre strechárov.";"1"
"Strešné doplnky";"";"";"stresne-doplnky";"Tesnenia, fólie, tmely a doplnky pre strechu.";"Strešné doplnky — Strechy Partizánske";"Strešné fólie, tmely, tesniace pásky, vetracie hrebene a ďalšie doplnky.";"1"
"Strešné doplnky";"Fólia";"";"stresne-doplnky/folia";"Strešné fólie — paropriepustné a parozábrany.";"Strešné fólie — Strechy Partizánske";"Paropriepustné fólie a parozábrany pre šikmé strechy.";"1"
"Strešné doplnky";"Tmel";"";"stresne-doplnky/tmel";"";"Strešné tmely — Strechy Partizánske";"";"1"
"Strešné doplnky";"Lak";"";"stresne-doplnky/lak";"";"Strešné laky — Strechy Partizánske";"";"1"
