"Kód";"Názov";"Krátky popis";"Popis";"Hlavná kategória";"Cesta kategórií";"Výrobca";"Cena bez DPH";"Cena s DPH";"DPH";"Skladom";"Dostupnosť";"MJ";"Hmotnosť";"Parameter 1 — názov";"Parameter 1 — hodnota";"Parameter 2 — názov";"Parameter 2 — hodnota";"Parameter 3 — názov";"Parameter 3 — hodnota"
"KRY-TOPS15-8004";"Topdach S15 — tehlová RAL 8004";"Profilovaná plechová krytina, hrúbka 0,5 mm, RAL 8004";"Topdach S15 je obojstranne pozinkovaný oceľový plech s polyesterovým povrchom. Vhodný pre šikmé strechy so sklonom od 12°. Záruka 30 rokov.";"Krytiny skladom";"Krytiny skladom > Topdach S15";"Topdach";"8.17";"9.80";"20";"450";"skladom";"m²";"4.5";"Farba";"Tehlová RAL 8004";"Hrúbka";"0,5 mm";"Materiál";"Oceľ + polyester"
"KRY-TOPS15-7016";"Topdach S15 — antracit RAL 7016";"Profilovaná plechová krytina, hrúbka 0,5 mm, RAL 7016";"Topdach S15 je obojstranne pozinkovaný oceľový plech s polyesterovým povrchom. Vhodný pre šikmé strechy so sklonom od 12°.";"Krytiny skladom";"Krytiny skladom > Topdach S15";"Topdach";"8.17";"9.80";"20";"320";"skladom";"m²";"4.5";"Farba";"Antracit RAL 7016";"Hrúbka";"0,5 mm";"Materiál";"Oceľ + polyester"
"KRY-UNIDACH-8019";"Unidach — tmavohnedá RAL 8019";"Krytina Unidach, hrúbka 0,5 mm, tmavohnedá";"Plechová krytina Unidach pre šikmé strechy. Polyesterový povrch, záruka 30 rokov.";"Krytiny skladom";"Krytiny skladom > Unidach";"Unidach";"7.83";"9.40";"20";"180";"skladom";"m²";"4.6";"Farba";"Tmavohnedá RAL 8019";"Hrúbka";"0,5 mm";"";""
"KLA-ZLAB-125-POZINK";"Žľab pol-okrúhly 125 mm — pozink";"Pozinkovaný žľab pol-okrúhly, dĺžka 3 m, priemer 125 mm";"Klasický pozinkovaný oceľový žľab pol-okrúhleho profilu. Dĺžka 3 m, priemer 125 mm. Súčasť zvodového systému 125/87.";"Klampiarske produkty";"Klampiarske produkty > Pozink";"Maslen";"7.42";"8.90";"20";"95";"skladom";"ks";"3.2";"Rozmer";"125 mm";"Dĺžka";"3 m";"Materiál";"Pozink"
"KLA-ZLAB-125-7016";"Žľab pol-okrúhly 125 mm — antracit RAL 7016";"Žľab pol-okrúhly, dĺžka 3 m, antracit";"Žľab pol-okrúhleho profilu v farbe antracit RAL 7016. Dĺžka 3 m, priemer 125 mm.";"Klampiarske produkty";"Klampiarske produkty > Sivá";"Maslen";"10.75";"12.90";"20";"42";"skladom";"ks";"3.2";"Rozmer";"125 mm";"Dĺžka";"3 m";"Farba";"Antracit RAL 7016"
"ZVD-ZVOD-87-POZINK";"Zvod pozink 87 mm";"Pozinkovaný zvod 87 mm, dĺžka 3 m";"Pozinkovaná zvodová rúra priemer 87 mm, dĺžka 3 m. Patrí k zvodovému systému 125/87.";"Zvodový systém";"Zvodový systém > 125/87 mm";"Maslen";"5.75";"6.90";"20";"120";"skladom";"ks";"2.4";"Rozmer";"87 mm";"Dĺžka";"3 m";"Materiál";"Pozink"
"SPO-SKR-DR-48x35-8004";"Skrutka do dreva 4,8×35 — tehlová, 250 ks";"Farebná skrutka do dreva, balenie 250 ks, RAL 8004";"Samorezná skrutka do dreva s tesniacou EPDM podložkou. Hlava farba RAL 8004 (tehlová). Pre upevnenie krytiny na drevené laty. Balenie 250 ks.";"Spojovací materiál";"Spojovací materiál > Skrutky pre krytiny > Do dreva";"Maslen";"12.42";"14.90";"20";"180";"skladom";"bal.";"1.8";"Rozmer";"4,8×35 mm";"Farba";"Tehlová RAL 8004";"Balenie";"250 ks"
"SPO-SKR-DR-48x35-7016";"Skrutka do dreva 4,8×35 — antracit, 250 ks";"Farebná skrutka do dreva, balenie 250 ks, RAL 7016";"Samorezná skrutka do dreva s tesniacou EPDM podložkou. Hlava farba antracit RAL 7016. Balenie 250 ks.";"Spojovací materiál";"Spojovací materiál > Skrutky pre krytiny > Do dreva";"Maslen";"12.42";"14.90";"20";"160";"skladom";"bal.";"1.8";"Rozmer";"4,8×35 mm";"Farba";"Antracit RAL 7016";"Balenie";"250 ks"
"SPO-SKR-OC-48x20";"Skrutka do ocele 4,8×20 — pozink, 250 ks";"Skrutka do ocele 4,8×20, pozink, 250 ks";"Samovrtná skrutka do ocele 4,8×20 mm s EPDM podložkou. Pre kotvenie plechových krytín do oceľových profilov. Balenie 250 ks.";"Spojovací materiál";"Spojovací materiál > Skrutky pre krytiny > Do ocele";"Maslen";"13.25";"15.90";"20";"95";"skladom";"bal.";"1.6";"Rozmer";"4,8×20 mm";"Materiál";"Pozink";"Balenie";"250 ks"
"SNZ-PROFIL-1M-POZ";"Snehová zábrana 1 m — profilovaná, pozink";"Snehová zábrana pre profilované krytiny, dĺžka 1 m";"Mrežová snehová zábrana pre profilované krytiny. Dĺžka 1 m, pozinkovaná oceľ. Vrátane konzol.";"Snehové zábrany";"Snehové zábrany > Na profilované krytiny";"Maslen";"18.67";"22.40";"20";"68";"skladom";"ks";"3.4";"Dĺžka";"1 m";"Pre krytinu";"Profilovaná";"Materiál";"Pozink"
